Condition,Strain,Dilution,Raw,CFU/g,Day,tnt.cnt.no.growth,Replicate,v,mode
21C,FSL R9-5515,5,799000000,2.66E+05,Inoculum,cnt,1,50,
21C,FSL R9-5258,5,801000000,2.67E+05,Inoculum,cnt,1,50,
21C,FSL R9-5517,5,833000000,2.78E+05,Inoculum,cnt,1,50,
21C,FSL R9-5271,5,680000000,2.27E+05,Inoculum,cnt,1,50,
21C,FSL R9-5516,5,671000000,2.24E+05,Inoculum,cnt,1,50,
21C,FSL R9-4077,5,695000000,2.32E+05,Inoculum,cnt,1,50,
21C,FSL R9-5515,1,11600,1.93E+05,0,cnt,1,50,
21C,FSL R9-5258,1,14200,2.37E+05,0,cnt,1,50,
21C,FSL R9-5517,1,17000,2.83E+05,0,cnt,1,50,
21C,FSL R9-5271,1,11900,1.98E+05,0,cnt,1,50,
21C,FSL R9-5516,1,22400,3.73E+05,0,cnt,1,50,
21C,FSL R9-4077,1,14500,2.42E+05,0,cnt,1,50,
21C,APC,0,650,1.08E+04,0,cnt,1,50,
21C,MacConkey,0,0,0.00E+00,0,cnt,1,50,
21C,FSL R9-5515,0,2850,4.75E+04,1,cnt,1,50,
21C,FSL R9-5258,0,5990,9.98E+04,1,cnt,1,50,
21C,FSL R9-5517,1,21000,3.50E+05,1,cnt,1,50,
21C,FSL R9-5271,0,8700,1.45E+05,1,cnt,1,50,
21C,FSL R9-5516,1,16000,2.67E+05,1,cnt,1,50,
21C,FSL R9-4077,0,18100,3.02E+05,1,cnt,1,50,
21C,APC,1,60100,1.00E+06,1,cnt,1,50,
21C,MacConkey,0,0,0.00E+00,1,cnt,1,50,checked
21C,FSL R9-5515,1,1200,2.00E+04,3,cnt,1,50,
21C,FSL R9-5258,1,5300,8.83E+04,3,cnt,1,50,
21C,FSL R9-5517,1,13200,2.20E+05,3,cnt,1,50,
21C,FSL R9-5271,0,10300,1.72E+05,3,cnt,1,50,
21C,FSL R9-5516,1,17900,2.98E+05,3,cnt,1,50,
21C,FSL R9-4077,1,1900,3.17E+04,3,cnt,1,50,
21C,APC,1,122000,2.03E+06,3,cnt,1,50,
21C,MacConkey,0,0,0.00E+00,3,cnt,1,50,
21C,FSL R9-5515,0,1080,1.80E+04,4,cnt,1,50,
21C,FSL R9-5258,1,3900,6.50E+04,4,cnt,1,50,
21C,FSL R9-5517,0,1210,2.02E+04,4,cnt,1,50,
21C,FSL R9-5271,1,2900,4.83E+04,4,cnt,1,50,
21C,FSL R9-5516,1,15900,2.65E+05,4,cnt,1,50,
21C,FSL R9-4077,1,10900,1.82E+05,4,cnt,1,50,
21C,APC,2,138000,2.30E+06,4,cnt,1,50,
21C,MacConkey,0,0,0.00E+00,4,cnt,1,50,
21C,FSL R9-5515,0,2180,3.63E+04,7,cnt,1,50,
21C,FSL R9-5258,0,2030,3.38E+04,7,cnt,1,50,
21C,FSL R9-5517,1,14000,2.33E+05,7,cnt,1,50,
21C,FSL R9-5271,1,8100,1.35E+05,7,cnt,1,50,
21C,FSL R9-5516,1,15900,2.65E+05,7,cnt,1,50,
21C,FSL R9-4077,1,12800,2.13E+05,7,cnt,1,50,
21C,APC,1,680000,1.13E+07,7,cnt,1,50,
21C,MacConkey,0,0,0.00E+00,7,cnt,1,50,
21C,FSL R9-5515,6,1050000000,3.50E+05,Inoculum,cnt,2,50,
21C,FSL R9-5258,6,1020000000,3.40E+05,Inoculum,cnt,2,50,
21C,FSL R9-5517,6,910000000,3.03E+05,Inoculum,cnt,2,50,
21C,FSL R9-5271,6,970000000,3.23E+05,Inoculum,cnt,2,50,
21C,FSL R9-5516,6,1090000000,3.63E+05,Inoculum,cnt,2,50,
21C,FSL R9-4077,6,800000000,2.67E+05,Inoculum,cnt,2,50,
21C,FSL R9-5515,0,1160,1.93E+04,0,cnt,2,50,
21C,FSL R9-5258,1,8400,1.40E+05,0,cnt,2,50,
21C,FSL R9-5517,0,3780,6.30E+04,0,cnt,2,50,
21C,FSL R9-5271,0,670,1.12E+04,0,cnt,2,50,
21C,FSL R9-5516,0,859,1.43E+04,0,cnt,2,50,
21C,FSL R9-4077,0,4280,7.13E+04,0,cnt,2,50,
21C,APC,0,0,0.00E+00,0,no.growth,2,50,
21C,MacConkey,0,0,0.00E+00,0,cnt,2,50,
21C,FSL R9-5515,0,7380,1.23E+05,1,cnt,2,50,
21C,FSL R9-5258,0,13100,2.18E+05,1,cnt,2,50,
21C,FSL R9-5517,1,14700,2.45E+05,1,cnt,2,50,
21C,FSL R9-5271,0,7330,1.22E+05,1,cnt,2,50,
21C,FSL R9-5516,0,17700,2.95E+05,1,cnt,2,50,
21C,FSL R9-4077,0,8440,1.41E+05,1,cnt,2,50,
21C,APC,0,50,8.33E+02,1,cnt,2,50,
21C,MacConkey,0,0,0.00E+00,1,cnt,2,50,
21C,FSL R9-5515,1,20100,3.35E+05,3,cnt,2,50,
21C,FSL R9-5258,1,18000,3.00E+05,3,cnt,2,100,
21C,FSL R9-5517,0,1370,2.28E+04,3,cnt,2,100,
21C,FSL R9-5271,0,3020,5.03E+04,3,cnt,2,100,
21C,FSL R9-5516,1,15700,2.62E+05,3,cnt,2,100,
21C,FSL R9-4077,0,9600,1.60E+05,3,cnt,2,100,
21C,APC,0,310,5.17E+03,3,cnt,2,100,
21C,MacConkey,0,0,0.00E+00,3,cnt,2,100,
21C,FSL R9-5515,1,12500,2.08E+05,4,cnt,2,50,
21C,FSL R9-5258,1,16500,2.75E+05,4,cnt,2,50,
21C,FSL R9-5517,1,6400,1.07E+05,4,cnt,2,50,
21C,FSL R9-5271,1,5000,8.33E+04,4,cnt,2,50,
21C,FSL R9-5516,1,13000,2.17E+05,4,cnt,2,50,
21C,FSL R9-4077,1,12200,2.03E+05,4,cnt,2,50,
21C,APC,0,909,1.52E+04,4,cnt,2,50,
21C,MacConkey,0,0,0.00E+00,4,cnt,2,50,
21C,FSL R9-5515,1,4100,6.83E+04,7,cnt,2,50,
21C,FSL R9-5258,1,12300,2.05E+05,7,cnt,2,50,
21C,FSL R9-5517,1,10300,1.72E+05,7,cnt,2,50,
21C,FSL R9-5271,1,2090,3.48E+04,7,cnt,2,50,
21C,FSL R9-5516,1,6000,1.00E+05,7,cnt,2,50,
21C,FSL R9-4077,1,1070,1.78E+04,7,cnt,2,50,
21C,APC,0,9880,1.65E+05,7,cnt,2,50,checked
