Strain,Condition,Day,Raw,CFU/mL,tnt/cnt/no_growth,Replicate,Dilution
FSL R9-5272,21C,Inoculum,7.24E+08,2.17E+08,cnt,1,6
FSL R9-5400,21C,Inoculum,6.64E+08,1.99E+08,cnt,1,6
FSL R9-5502,21C,Inoculum,6.75E+08,2.03E+08,cnt,1,6
FSL R9-5344,21C,Inoculum,5.62E+08,1.69E+08,cnt,1,6
FSL R9-6232,21C,Inoculum,5.83E+08,1.75E+08,cnt,1,6
FSL R9-5272,21C,0,2.02E+05,6.06E+06,cnt,1,2
FSL R9-5400,21C,0,2.04E+03,6.12E+04,cnt,1,2
FSL R9-5502,21C,0,2.66E+04,7.98E+05,cnt,1,2
FSL R9-5344,21C,0,8.18E+03,2.45E+05,cnt,1,2
FSL R9-6232,21C,0,8.18E+03,2.45E+05,cnt,1,2
FSL R9-5272,21C,1,2.37E+03,7.11E+04,cnt,1,0
FSL R9-5400,21C,1,0.00E+00,,no_growth,1,0
FSL R9-5502,21C,1,0.00E+00,,no_growth,1,0
FSL R9-5344,21C,1,6.44E+02,1.93E+04,cnt,1,0
FSL R9-6232,21C,1,0.00E+00,,no_growth,1,0
FSL R9-5272,21C,3,1.27E+05,3.81E+06,cnt,1,0
FSL R9-5400,21C,3,7.77E+03,2.33E+04,cnt,1,1
FSL R9-5502,21C,3,1.56E+06,4.68E+06,cnt,1,1
FSL R9-5344,21C,3,1.87E+05,5.61E+06,cnt,1,1
FSL R9-6232,21C,3,0.00E+00,,no_growth,1,0
FSL R9-5272,21C,4,2.17E+04,6.51E+05,cnt,1,1
FSL R9-5400,21C,4,5.13E+06,1.54E+08,cnt,1,1
FSL R9-5502,21C,4,0.00E+00,,no_growth,1,0
FSL R9-5344,21C,4,1.00E+04,3.00E+05,cnt,1,1
FSL R9-6232,21C,4,2.65E+05,7.95E+06,cnt,1,1
FSL R9-5272,21C,7,2.01E+06,6.03E+07,cnt,1,3
FSL R9-5400,21C,7,2.66E+05,7.98E+06,cnt,1,2
FSL R9-5502,21C,7,1.02E+01,3.06E+02,cnt,1,0
FSL R9-5344,21C,7,2.41E+06,7.23E+07,cnt,1,3
FSL R9-6232,21C,7,0.00E+00,,no_growth,1,2
FSL R9-5272,21C,Inoculum,1.56E+09,4.68E+08,cnt,2,6
FSL R9-5400,21C,Inoculum,1.68E+09,5.04E+08,cnt,2,6
FSL R9-5502,21C,Inoculum,1.98E+09,5.94E+08,cnt,2,6
FSL R9-5344,21C,Inoculum,1.54E+09,4.62E+08,cnt,2,6
FSL R9-6232,21C,Inoculum,1.53E+09,4.59E+08,cnt,2,6
FSL R9-5272,21C,0,6.24E+05,1.87E+07,cnt,2,2
FSL R9-5400,21C,0,6.85E+04,2.06E+06,cnt,2,2
FSL R9-5502,21C,0,6.03E+05,1.81E+07,cnt,2,3
FSL R9-5344,21C,0,9.28E+04,2.78E+06,cnt,2,2
FSL R9-6232,21C,0,2.57E+05,7.71E+06,cnt,2,2
FSL R9-5272,21C,1,5.01E+03,1.50E+05,cnt,2,1
FSL R9-5400,21C,1,0.00E+00,,no_growth,2,0
FSL R9-5502,21C,1,2.04E+01,6.12E+02,cnt,2,0
FSL R9-5344,21C,1,1.02E+01,3.06E+02,cnt,2,0
FSL R9-6232,21C,1,3.06E+01,9.18E+02,cnt,2,0
FSL R9-5272,21C,3,2.04E+02,6.12E+03,cnt,2,0
FSL R9-5400,21C,3,1.70E+06,5.10E+07,cnt,2,1
FSL R9-5502,21C,3,3.89E+02,1.17E+04,cnt,2,0
FSL R9-5344,21C,3,1.23E+02,3.69E+03,cnt,2,1
FSL R9-6232,21C,3,9.19E+01,2.76E+03,cnt,2,1
FSL R9-5272,21C,4,2.63E+05,7.89E+06,cnt,2,1
FSL R9-5400,21C,4,3.32E+04,9.96E+05,cnt,2,1
FSL R9-5502,21C,4,5.42E+02,1.63E+04,cnt,2,0
FSL R9-5344,21C,4,1.18E+03,3.54E+04,cnt,2,0
FSL R9-6232,21C,4,3.06E+01,9.18E+02,cnt,2,0
FSL R9-5272,21C,7,4.11E+05,7.89E+06,cnt,2,2
FSL R9-5400,21C,7,1.11E+06,9.96E+05,cnt,2,2
FSL R9-5502,21C,7,2.01E+03,1.63E+04,cnt,2,0
FSL R9-5344,21C,7,3.66E+06,3.54E+04,cnt,2,2
FSL R9-6232,21C,7,3.72E+05,9.18E+02,cnt,2,2
APC,21C,0,3.36E+03,1.01E+05,cnt,1,0
APC,21C,1,9.59E+03,2.88E+05,cnt,1,1
APC,21C,3,1.61E+04,4.83E+05,cnt,1,1
APC,21C,4,8.20E+04,2.46E+06,cnt,1,2
